income,credit_score,existing_loan,monthly_emi,employment_years,missed_payments,approved
321958,770,882297,26567,3,3,0
871155,722,469862,57864,9,5,0
331932,364,787163,32376,2,4,0
1614414,312,132201,53618,19,4,0
459178,512,159094,21922,8,1,0
1892743,541,263749,12388,2,1,0
310268,792,77506,29332,5,7,0
932180,512,764601,46737,5,4,0
1303462,637,44130,23495,22,7,0
337337,472,946769,8434,24,5,0
1199890,463,163402,51952,11,4,0
1770006,764,854901,20991,22,1,1
1336074,796,146259,27472,0,3,0
1112756,694,419007,59946,15,7,0
375203,607,352580,40030,23,7,0
1439911,482,201682,26849,4,0,1
478167,809,374485,1541,8,1,0
241090,845,223034,2765,9,5,0
529365,526,957371,43074,12,7,0
1313396,735,509394,37259,14,3,0
987201,721,918397,29283,11,3,0
1570455,320,623982,35851,4,3,0
1966891,696,544061,54508,4,2,1
527069,404,790671,34625,17,2,0
1447617,491,283007,769,11,6,0
991743,316,313559,17806,2,3,0
303355,419,68968,24982,24,7,0
1484372,692,493891,2972,6,5,0
1462752,724,584718,18256,16,4,0
384779,428,250072,38367,18,5,0
1596025,429,1515,18653,17,2,0
1670485,328,97206,38043,0,1,0
1189436,396,245282,21133,24,7,0
1507371,309,759990,39339,23,6,0
686232,541,407821,25757,4,2,0
1117040,531,842672,37840,1,4,0
1748762,583,5586,42399,0,0,0
356730,499,906851,44013,6,6,0
1633257,378,908806,32069,10,2,0
1398079,472,769565,14706,10,5,0
854811,766,555474,38231,17,6,0
727035,715,551216,27909,16,7,0
848143,748,753624,40218,1,5,0
1700942,386,738447,11095,6,3,0
265725,400,385134,57572,6,3,0
1378557,307,349173,20343,9,3,0
284654,499,544999,26469,21,6,0
1153277,804,579250,1313,20,0,1
791723,386,20039,7847,2,4,0
519030,342,560849,50222,11,7,0
1577523,684,206555,9166,2,6,0
755839,734,491087,9930,10,1,0
473538,707,998899,3285,11,7,0
531236,782,219730,58101,24,5,0
728178,316,1577,35863,3,5,0
765894,447,107792,16704,24,6,0
689492,576,945854,18705,15,6,0
1505416,531,772268,555,19,4,0
673254,665,238540,21323,17,0,1
549457,527,951302,5432,3,6,0
865987,735,228506,1386,21,3,0
1519512,698,736777,53915,5,4,0
1488507,510,10785,44007,20,1,0
1488205,690,72227,10619,14,3,0
1453617,798,905112,6854,0,1,0
898361,839,848389,42964,2,2,0
1980488,790,589719,48801,4,1,1
1665689,741,410513,59274,21,3,0
268148,560,858326,7637,16,2,0
848531,649,247941,21225,13,3,0
1500571,651,719132,45730,8,5,0
1106606,819,150653,26739,2,3,0
878843,619,317336,47708,12,2,0
772843,437,263606,53019,2,1,0
456508,849,390992,10618,10,5,0
1003591,667,719533,36561,1,0,1
1096942,519,933015,7373,23,0,0
306530,636,338250,35281,14,7,0
804365,522,310809,20187,12,0,1
660337,659,699774,2327,18,0,1
1973415,628,343154,32391,21,4,0
1005889,762,596861,41577,15,0,1
1708349,681,224737,18549,17,2,1
408261,468,894235,52460,6,6,0
1589673,516,643970,39220,12,0,1
1563715,677,537674,57219,3,3,0
1420405,418,386213,7642,8,6,0
471836,489,54460,14435,9,0,0
1687550,669,399437,55556,8,6,0
1189913,448,416690,33760,6,1,0
402283,787,115375,38192,14,2,0
396769,673,899092,58721,7,2,0
761353,459,152117,4381,18,7,0
1471741,650,877751,31047,10,6,0
1872163,587,116582,19558,4,7,0
1246797,587,498909,30782,1,5,0
1150110,525,922426,4782,9,4,0
1784398,822,767303,25881,15,3,0
687879,821,678066,54712,22,6,0
764685,572,829203,40228,12,2,0
982038,701,576623,29409,7,7,0
1602107,482,753375,19462,8,1,0
1511736,787,52949,2983,10,0,1
1207293,423,463930,56411,10,2,0
779879,713,95558,55206,22,1,0
1469460,471,408456,31933,15,0,1
223247,587,888704,46950,9,4,0
1272876,734,789148,2523,23,2,0
1715857,412,147646,9677,11,7,0
807086,421,767175,10292,24,2,0
733556,843,466933,15089,5,6,0
1597527,521,504515,4581,11,6,0
1522905,338,961570,11907,9,1,0
1967640,796,717186,5609,17,7,0
942139,532,675573,51153,17,5,0
632315,829,71916,50539,3,6,0
1126075,448,721511,44143,8,3,0
716588,696,259590,22936,6,4,0
1485160,601,772378,50182,17,3,0
1810908,659,575194,42725,7,2,1
1178732,537,786895,45723,10,3,0
1625472,535,949477,33988,6,0,0
248984,502,74694,29506,8,4,0
502918,555,413867,13163,7,3,0
464712,534,855126,59758,2,0,0
1368727,644,282152,46057,16,1,0
1704384,833,70474,12537,1,3,0
333767,765,562473,22419,14,4,0
848663,840,350068,42578,13,0,1
1952126,512,262048,9455,17,3,0
336330,762,991921,55675,15,1,0
680754,735,780862,57226,19,3,0
1550224,582,726499,9063,21,0,1
1937095,762,821412,834,3,3,0
213986,706,546792,32214,24,4,0
786146,387,54970,27398,19,2,0
1377888,343,278910,58262,5,7,0
212666,760,641232,34492,5,7,0
1549380,577,880354,55750,10,0,0
334633,720,404911,2413,16,0,0
488998,652,411012,9505,23,0,0
1050937,814,173615,55145,2,0,1
828776,318,932063,37266,12,3,0
1956187,322,497666,2105,21,4,0
1533382,712,688499,2568,2,7,0
1279111,329,120494,42098,15,1,0
1196107,407,759229,49361,14,7,0
1624289,666,533090,58408,10,4,0
1038688,580,991347,37679,17,0,0
551279,427,171277,51372,14,5,0
1113910,528,491966,49385,4,3,0
1850237,410,296303,33560,15,5,0
1896548,435,11516,14195,15,3,0
689570,661,312636,46669,16,0,1
1705127,485,815518,15762,8,3,0
1521685,428,638046,52262,22,0,1
224538,560,554768,51318,2,4,0
1094498,814,183163,41294,19,6,0
401664,748,128023,58703,12,2,0
691234,403,372339,15898,21,3,0
339182,782,178838,21577,2,0,0
1721101,523,825169,1214,6,5,0
1406914,790,271409,20803,5,0,1
384064,772,638453,48114,8,5,0
414020,309,643789,23698,11,7,0
1239577,704,773617,57627,14,3,0
823094,601,333134,32980,20,1,0
1097421,530,494670,1658,19,5,0
815270,365,801818,12270,2,0,0
1894490,411,891150,46797,9,3,0
1367752,312,823857,37792,0,0,0
1117710,692,121635,45807,18,1,1
1466702,799,698614,58761,18,2,1
418969,533,220935,59730,22,6,0
322409,613,511566,22301,22,6,0
1796283,311,53634,5141,12,1,0
453618,508,703022,50946,11,4,0
969598,313,873420,38756,0,3,0
1298591,717,759144,57448,18,1,0
972838,736,892769,13777,23,2,0
1370672,676,492503,38346,15,0,1
1879923,319,218599,54703,24,3,0
1433916,369,237919,29441,22,7,0
1359263,510,468668,47819,22,5,0
1074371,400,403359,28469,14,1,0
1659933,431,484607,3845,15,7,0
935716,680,933085,44650,10,7,0
1354454,431,591731,23290,23,2,0
1975846,319,291568,47015,5,7,0
1173548,835,350988,30699,10,1,1
1446862,526,828416,44252,2,4,0
973290,453,41505,33146,14,6,0
1413475,768,102478,3293,0,6,0
1573343,704,62699,52481,6,3,0
1199238,501,944461,53960,0,0,0
1061882,337,418680,44398,16,2,0
579989,487,900444,57089,8,1,0
615515,356,154721,46428,22,3,0
243585,319,959569,16608,12,1,0
1619945,572,821190,737,10,3,0
264044,418,136668,16619,19,6,0
1160061,815,278518,12470,5,7,0
642296,520,642974,49863,0,4,0
309556,825,265919,22372,6,1,0
1775557,814,813820,16117,11,4,0
967595,635,385944,14779,21,5,0
400235,354,807461,51040,19,5,0
225939,799,608269,29294,22,7,0
1401482,835,315783,56325,18,6,0
742335,461,114010,50411,16,2,0
1536825,458,932149,21630,3,4,0
275766,487,555393,40039,2,3,0
608923,359,523472,49900,0,2,0
1663768,618,406884,12178,17,1,0
768550,510,259021,19935,20,1,0
587261,705,147032,47258,14,3,0
1010208,408,650807,22784,7,0,0
885440,375,142429,23027,0,7,0
1901240,841,457820,31008,19,0,1
1184346,613,889171,57853,13,7,0
1703165,416,313940,46631,3,1,0
337848,318,277948,1823,4,7,0
817075,731,652020,6852,22,6,0
327948,649,669986,13072,12,6,0
1827880,482,159204,11133,23,3,0
602690,412,794383,15111,14,0,0
699046,482,923953,32312,5,4,0
651269,780,281209,24161,0,1,1
221959,445,887935,53384,22,5,0
1909466,412,105072,39287,18,4,0
1998792,775,664490,59478,12,3,0
428576,602,89360,1777,5,5,0
