amount,transaction_hour,customer_avg_transaction,previous_transaction_count,is_international,is_new_device,location_changed,is_fraud
1802.11,7,535.36,193,0,0,0,0
955.02,0,744.8,181,0,0,0,0
2095.8,23,647.64,65,0,0,0,0
5029.27,21,922.89,81,0,1,0,1
867.7,3,265.91,164,0,0,0,0
867.71,11,478.79,131,0,1,0,0
5319.92,23,802.0,90,0,0,0,0
2362.4,2,421.03,195,0,1,0,1
685.76,12,1283.78,11,0,0,0,0
1886.65,19,426.12,154,1,0,1,1
689.92,5,724.87,89,0,1,0,0
688.33,10,624.55,10,0,0,0,0
1396.83,22,361.84,193,0,0,0,0
161.86,3,689.73,146,0,0,0,0
195.41,19,302.73,148,0,0,0,0
624.98,15,509.71,7,0,0,1,0
398.29,6,677.33,141,1,0,0,0
1501.54,21,282.48,51,0,0,0,1
442.29,10,966.91,89,0,0,0,0
267.12,23,777.61,98,1,0,0,0
4748.81,0,915.25,174,0,0,0,1
875.0,6,666.13,174,0,0,1,0
1173.24,11,333.48,27,0,1,0,0
263.82,6,665.11,7,0,0,0,0
636.27,22,966.67,133,0,0,0,0
1225.28,6,325.65,71,0,0,0,0
346.89,9,341.55,75,1,0,0,0
1596.71,15,573.84,135,0,0,0,0
601.46,7,532.3,181,0,0,1,0
819.18,8,658.72,71,0,0,0,0
600.82,8,558.35,59,0,0,0,0
6990.3,1,732.16,136,0,0,0,0
1081.93,12,1384.5,35,0,0,0,0
380.81,12,918.77,70,0,1,0,0
2496.25,22,687.93,105,0,0,1,0
323.49,22,342.4,68,1,0,0,0
1351.36,3,431.3,35,1,0,1,0
154.52,23,1102.17,121,0,1,0,0
290.56,11,502.15,195,0,0,1,0
1335.23,16,372.17,70,0,0,0,0
2294.95,1,2342.14,163,0,0,0,0
1301.62,12,1660.17,51,1,1,0,0
976.87,17,617.28,26,0,1,1,0
811.51,14,347.37,98,0,0,0,0
250.0,7,1026.61,87,0,1,0,0
533.87,14,495.69,50,0,0,0,0
691.84,0,1133.56,93,0,1,0,0
3156.19,19,496.0,190,0,1,0,0
1546.3,9,1785.11,123,1,0,0,0
188.1,11,487.24,193,0,0,0,0
1516.38,4,2748.58,50,0,0,0,0
746.14,8,747.72,5,0,0,0,0
557.29,22,1526.27,100,0,0,1,0
2021.66,7,481.03,157,0,0,0,0
3074.81,15,302.84,65,0,0,0,1
2782.99,13,166.71,109,1,1,1,1
473.8,12,1430.76,85,0,0,0,0
804.96,22,692.85,18,0,0,0,0
1527.31,20,314.65,49,0,0,0,0
2908.94,12,1466.92,81,0,0,0,0
679.14,4,1330.88,171,0,1,0,0
910.82,15,1524.51,70,0,0,0,0
362.73,10,297.71,36,0,0,0,0
331.55,21,1405.08,100,0,1,0,0
2471.36,4,837.5,62,0,0,0,0
4256.66,12,1566.46,108,0,1,0,0
1020.44,10,921.16,60,0,0,0,0
2991.51,18,737.9,138,0,0,1,0
1574.41,2,1416.57,71,0,0,1,0
575.29,14,1108.92,182,0,1,1,0
1574.03,6,1272.91,122,0,0,1,0
5105.31,6,496.3,42,0,0,0,0
1058.04,5,599.77,135,1,1,1,1
5242.97,2,235.03,116,0,0,0,1
79.86,12,475.29,137,0,0,0,0
